job_id,plate_file,stage,selection,material,process_profile,nozzle_mm,layer_mm,purpose,prerequisites,objects,extent_x_mm,extent_y_mm,extent_z_mm
00A,00A_PETG_keyboard_profile_fit_tests.3mf,diagnostic,required,PETG,petg_tray_structural_0p4,0.4,0.2,"Keyboard corner, seam, clearance, and M4 washer tests using the exact tray profile",plus4_machine_confirmed;nozzle_0p4_confirmed;petg_tray_profile_calibrated,5,174.0,138.0,11.0
00B,00B_PETG_phone_profile_fit_tests.3mf,diagnostic,required,PETG,petg_cradle_0p4,0.4,0.2,"Phone width, horizontal M4 insert, cable-saddle, and washer tests using the exact cradle profile",plus4_machine_confirmed;nozzle_0p4_confirmed;petg_cradle_profile_calibrated,4,216.0,80.0,16.0
00C,00C_PETG_tool_profile_fit_tests.3mf,diagnostic,required,PETG,petg_precision_0p4,0.4,0.16,"RoArm grip, stepped spring seat, M3 insert, and M3 head tests using the exact tool profile",plus4_machine_confirmed;nozzle_0p4_confirmed;petg_precision_profile_calibrated,4,156.0,70.0,34.0
00D,00D_PETG_adapter_profile_fit_tests.3mf,diagnostic,required,PETG,petg_adapter_0p4,0.4,0.12,Stylus sliding-fit and horizontal thread-pilot tests using the exact adapter profile,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_adapter_profile_calibrated,2,128.0,106.0,18.0
00E,00E_PETG_general_setup_tests.3mf,diagnostic,required,PETG,petg_general_0p4,0.4,0.2,"General clearance, screw-head, washer, camera-hex, and TPU-retention setup tests",plus4_machine_confirmed;nozzle_0p4_confirmed;petg_general_profile_calibrated,3,208.0,124.0,14.0
00F,00F_PETG_calibration_profile_clearance_test.3mf,diagnostic,required,PETG,petg_calibration_0p4,0.4,0.16,M4 clearance and washer verification using the exact fine-layer calibration-puck profile,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_calibration_profile_calibrated,2,160.0,70.0,6.0
01,01_PETG_keyboard_left.3mf,first_article,required,PETG,petg_tray_structural_0p4,0.4,0.2,Left keyboard tray first article,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_tray_profile_calibrated;keyboard_dimensions_measured;keyboard_corner_coupon_pass;keyboard_seam_coupon_pass;tray_clearance_holes_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,184.5,157.0,11.0
02,02_PETG_keyboard_right.3mf,production,required,PETG,petg_tray_structural_0p4,0.4,0.2,Right keyboard tray after left first-article acceptance,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_tray_profile_calibrated;keyboard_dimensions_measured;keyboard_corner_coupon_pass;keyboard_seam_coupon_pass;tray_clearance_holes_coupon_pass;geometry_matches_measurements;keyboard_left_first_article_pass;qidi_studio_roundtrip_confirmed,1,162.5,157.0,11.0
03A,03A_PETG_phone_cradle.3mf,production,required,PETG,petg_cradle_0p4,0.4,0.2,Phone cradle with closed mounting ears and raised cable saddle,plus4_machine_confirmed;nozzle_0p4_confirmed;petg_cradle_profile_calibrated;phone_dimensions_measured;phone_side_features_measured;phone_cable_measured;phone_width_coupon_pass;m4_horizontal_insert_coupon_pass;cable_tie_saddle_coupon_pass;cradle_m4_washer_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,1,117.3,172.8,20.0
03B,03B_PETG_keyboard_clamps.3mf,production,required,PETG,petg_general_0p4,0.4,0.2,"Two scaled, gusseted keyboard rear clamps",plus4_machine_confirmed;nozzle_0p4_confirmed;petg_general_profile_calibrated;keyboard_dimensions_measured;keyboard_corner_coupon_pass;general_clearance_holes_coupon_pass;setup_hardware_coupon_pass;geometry_matches_measurements;qidi_studio_roundtrip_confirmed,2,112.0,34.0,25.0
