category,item,qty,specification,required,notes
Core,Waveshare RoArm-M3 Pro,1,Existing arm,Yes,Use factory rear-edge clamp
Core,Structural board,1,610 x 457 x 18 mm birch plywood preferred; MDF acceptable,Yes,Do not 3D print this structural part
Core,Compact keyboard,1,Perixx PERIBOARD-409 nominal 315 x 147 x 21 mm,Yes,CAD defaults to this exact envelope
Core,Samsung Galaxy A16 5G,1,Nominal bare body 164.4 x 77.9 x 7.9 mm,Yes,Print fit coupon before full cradle; case requires override
Fabrication,Digital calipers,1,0.01 mm display / approximately 0.02-0.05 mm practical accuracy,Yes,Measure devices rods inserts springs and printed coupons only after cooling
Fabrication,Heat-set insert installation tip,1,M3 and M4 tips compatible with selected inserts,Yes,Install square at low pressure using coupon-selected pockets
Fabrication,Hand drill or reamer set,1,Selected M3 M4 and M5 clearance sizes from coupon,Yes,Chase printed passages by hand; do not power-ream soft TPU
Fabrication,Filament dryer or dry storage,1,Appropriate for PETG TPU and ASA,Recommended,Especially important for TPU dimensional consistency and surface quality
Fabrication,M2 hand tap and pin vise,1,M2 x 0.4 tap used only with the selected stylus-collar retention method,Phone tool option,Tap printed pilots by hand and qualify the actual thin-wall collar before service
Fabrication,Digital force gauge or calibrated weights,1,0-20 N push-pull gauge with 0.1 N resolution OR traceable 50-500 g weights,Optional,Quantifies spring force and adapter or TPU pull-off retention instead of relying only on feel
Assembly,Keyboard tray anti-slip pad pieces,4,Adhesive-backed EVA or TPU 16 x 10 x 0.5-0.6 mm,Yes,One pair per tray half; keep pads flush in the four production recesses
Assembly,Keyboard rear-clamp face pad pieces,2,Adhesive-backed EVA or TPU 42 x 10 x 0.8-1.0 mm,Yes,One replaceable face pad per rear clamp; do not bow the keyboard case
Vision,USB camera,1,1080p manual/fixed exposure preferred,Yes,Mount rigidly above workcell
Vision,Matte white paper/card,8,"Letter/A4, non-glossy",Yes,AprilTags and ChArUco board
Vision,Matte double-sided tag tape,1,Thin non-glossy removable or archival tape <= 0.2 mm thick; enough for six 55 mm tiles,Yes,Keep every tag tile flat without covering the printed detection face
Fasteners,#8 x 5/8 in pan-head wood screws,32,Approx. 4.2 x 16 mm,Yes,Easy fixture mounting method; use 2.5-3.0 mm pilot holes
Fasteners,M4 flat washers,32,Standard,Yes,Under fixture screw heads
Cable management,Nylon cable ties,12,2.5-3.2 mm wide x <= 1.2 mm thick x 100-150 mm long,Yes,Phone strain relief plus camera-routing samples and service spares; verify the selected tie in the saddle coupon
Cable management,Adhesive cable-tie anchors,4,Low-profile 18-20 mm square mounts compatible with the board finish,Recommended,Use only where needed to route the phone lead clear of AprilTags and robot motion; includes two spares
Phone clamp,M4 heat-set inserts,2,"6.0-6.2 mm OD, 5-6 mm long",Yes,Verify insert against printed tower pocket
Phone clamp,M4 x 25 mm thumb screws or nylon screws,2,Hand adjustable,Yes,Fit TPU caps to inner ends
